Se.ID,Accession
1198640,OP994378
1198494,OP994403
1198078,OP994447
1197033,OP994482
1197152,OP994495
1198216,OP994516
1198797,OP994535
1198585,OP994562
1197498,OP994622
1198307,OP994747
1198514,OP994796
1198605,OP994809
1202048,OP700921
1202186,OP701069
1207465,OQ092462
1207461,OQ092466
1207460,OQ092467
1207464,OQ092463
1212956,OQ596882
1212930,OQ596919
1222487,OQ948708
1222391,OQ948804
1222506,OQ948689
1222623,OQ948572
1220539,OQ949336
1222435,OQ948760
1222397,OQ948798
1222688,OQ948507
1222561,OQ948634
1222465,OQ948730
1222652,OQ948543
1236725,OQ751393
1235020,OR466101
1234886,OR245586
1234833,OR245639
1234803,OR245669
1234686,OR245786
1234612,OR245860
1234497,OR245975
1234188,OR246284
1234139,OR246333
1035881,MT794084
1249101,OR736818
1248865,OR737054
1248959,OR736960
1248673,OR737246
1248999,OR736920
1242190,OR661155
1242236,OR660705
1242212,OR660960
1314030,PQ511683
561841,KF384800
269345,FJ469718
269342,FJ469721
931984,MN055643
561842,KF384799
283616,FJ495818
283497,FJ495937
283434,FJ496000
486249,JQ403060
53401,DQ886037
283353,FJ496081
903132,MK086129
259866,EU786672
259864,EU786674
259863,EU786675
259862,EU786676
259861,EU786677
259860,EU786678
259859,EU786679
259858,EU786680
343349,FJ853622
357981,GQ372990
333750,FJ670531
357983,GQ372988
333756,FJ670525
343351,FJ853620
333757,FJ670524
349216,GU733713
1035848,MT794210
357237,HM586210
357245,HM586202
357240,HM586207
462564,JN944897
368147,GU362885
368146,GU362886
368149,GU362883
368151,GU362881
394062,JF320422
394440,JF320044
394121,JF320363
394439,JF320045
394024,JF320460
394287,JF320197
394128,JF320356
393871,JF320613
393920,JF320564
394221,JF320263
394339,JF320145
393954,JF320530
393925,JF320559
394073,JF320411
393907,JF320577
394340,JF320144
394364,JF320120
394057,JF320427
394315,JF320169
394481,JF320003
394324,JF320160
393958,JF320526
394123,JF320361
394305,JF320179
394448,JF320036
394334,JF320150
394446,JF320038
394387,JF320097
394430,JF320054
394002,JF320482
394299,JF320185
394425,JF320059
394436,JF320048
393869,JF320615
394441,JF320043
467072,JN024349
467017,JN024459
467012,JN024469
467077,JN024339
466700,JN024450
466707,JN024436
466865,JN024120
494855,JX140659
494876,JX140652
494875,JX140654
494856,JX140657
494874,JX140656
486180,JQ403053
457360,JN397365
457477,JN397364
457361,JN397363
457478,JN397362
486189,JQ403035
486264,JQ403030
526098,KC473834
563696,KC113005
526103,KC473824
527353,KC473833
527356,KC473827
526099,KC473832
526101,KC473828
527357,KC473825
527349,KC473841
527355,KC473829
526100,KC473830
527352,KC473835
527354,KC473831
526102,KC473826
535170,JX974235
552866,KC797215
555292,JX863922
555291,JX863923
555290,JX863924
555295,JX863919
555293,JX863921
561468,KF526298
561448,KF526318
561538,KF526228
561592,KF526174
561646,KF526120
561505,KF526261
561749,KF716496
561751,KF716494
561750,KF716495
561838,KF384803
561831,KF384810
561839,KF384802
561833,KF384808
561832,KF384809
561843,KF384798
561827,KF384814
561835,KF384806
561834,KF384807
561828,KF384813
561840,KF384801
561829,KF384812
561837,KF384804
561830,KF384811
561836,KF384805
550596,KC935958
550595,KC935959
486248,JQ403062
626760,KF990605
626757,KF990608
626316,KP109518
754014,KY112136
754023,KY112127
754061,KY112056
753861,KY112429
753844,KY112461
650377,KT276255
650365,KT276267
650376,KT276256
650364,KT276268
650369,KT276263
650366,KT276266
650370,KT276262
650368,KT276264
650793,KT200352
650789,KT200356
650790,KT200355
650794,KT200351
650792,KT200353
650791,KT200354
650795,KT200350
650797,KT200348
650787,KT200358
650788,KT200357
650796,KT200349
624663,KP411827
624667,KP411822
624661,KP411829
624462,KP411823
624662,KP411828
624666,KP411824
624665,KP411825
672864,KT284371
948707,MN692145
693256,KU685589
693259,KU685586
693255,KU685590
693257,KU685588
756834,KY465969
693261,KU685584
693260,KU685585
693262,KU685583
693254,KU685591
703370,KT124790
703372,KT124788
703399,KT124761
703381,KT124779
703397,KT124763
703411,KT124749
703393,KT124767
703364,KT124796
703398,KT124762
703360,KT124800
703385,KT124775
703349,KT124811
703392,KT124768
703404,KT124756
703350,KT124810
703387,KT124773
703358,KT124802
703355,KT124805
703359,KT124801
703363,KT124797
703378,KT124782
703376,KT124784
703373,KT124787
703357,KT124803
703400,KT124760
703407,KT124753
703369,KT124791
703377,KT124783
703406,KT124754
703375,KT124785
703386,KT124774
703388,KT124772
703366,KT124794
703352,KT124808
703405,KT124755
703382,KT124778
703351,KT124809
703403,KT124757
703410,KT124750
703408,KT124752
703394,KT124766
703380,KT124780
703395,KT124765
703371,KT124789
703409,KT124751
715470,KX505649
715583,KX505536
715510,KX505609
715723,KX505396
715433,KX505686
715567,KX505552
715380,KX505739
715615,KX505504
715644,KX505475
715536,KX505583
753811,KY112522
720078,KU678025
720114,KU677989
720034,KU678069
719978,KU678125
720054,KU678049
720137,KU901976
720118,KU901995
739036,KU749387
